12/04/2025,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,8350.00
12/04/2025,TIM HORTONS #4521 TORONTO ON,8.31,,8341.69
12/05/2025,PRESTO/METROLINX TORONTO ON,156.00,,8185.69
12/05/2025,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,7685.69
12/06/2025,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,11835.69
12/08/2025,ROGERS COMMUNICATIONS PREAUTH,72.32,,11763.37
12/13/2025,METRO #742 TORONTO ON,75.90,,11687.47
12/21/2025,TIM HORTONS #4521 TORONTO ON,4.68,,11682.79
12/24/2025,METRO #742 TORONTO ON,50.11,,11632.68
12/26/2025,TIM HORTONS #4521 TORONTO ON,6.67,,11626.01
12/29/2025,WISE PAYMENTS CANADA INR,653.84,,10972.17
12/31/2025,INTERNET BANKING E-TRANSFER RENT,2150.00,,8822.17
12/31/2025,TORONTO HYDRO PREAUTH,92.51,,8729.66
01/04/2026,METRO #742 TORONTO ON,32.39,,8697.27
01/06/2026,TIM HORTONS #4521 TORONTO ON,4.75,,8692.52
01/15/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,6542.52
01/15/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,6042.52
01/20/2026,PRESTO/METROLINX TORONTO ON,156.00,,5886.52
01/20/2026,TIM HORTONS #4521 TORONTO ON,8.03,,5878.49
01/20/2026,TORONTO HYDRO PREAUTH,60.57,,5817.92
01/20/2026,WISE PAYMENTS CANADA INR,776.79,,5041.13
01/21/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,9191.13
01/22/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,9118.81
01/23/2026,TIM HORTONS #4521 TORONTO ON,7.17,,9111.64
01/28/2026,METRO #742 TORONTO ON,36.98,,9074.66
01/30/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,13224.66
02/06/2026,PRESTO/METROLINX TORONTO ON,156.00,,13068.66
02/07/2026,WISE PAYMENTS CANADA INR,747.37,,12321.29
02/08/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,11821.29
02/10/2026,METRO #742 TORONTO ON,59.31,,11761.98
02/11/2026,METRO #742 TORONTO ON,44.31,,11717.67
02/11/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,15867.67
02/11/2026,TIM HORTONS #4521 TORONTO ON,9.26,,15858.41
02/12/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,15786.09
02/14/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,19936.09
02/16/2026,TIM HORTONS #4521 TORONTO ON,7.26,,19928.83
02/24/2026,TORONTO HYDRO PREAUTH,76.01,,19852.82
02/25/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,17702.82
02/26/2026,TIM HORTONS #4521 TORONTO ON,6.19,,17696.63
03/03/2026,PRESTO/METROLINX TORONTO ON,156.00,,17540.63
03/05/2026,TIM HORTONS #4521 TORONTO ON,9.46,,17531.17
03/10/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,17458.85
03/11/2026,WISE PAYMENTS CANADA INR,671.48,,16787.37
03/19/2026,METRO #742 TORONTO ON,60.00,,16727.37
03/22/2026,TIM HORTONS #4521 TORONTO ON,9.42,,16717.95
03/26/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,14567.95
03/26/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,18717.95
03/26/2026,TORONTO HYDRO PREAUTH,48.31,,18669.64
03/26/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,18169.64
03/27/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,22319.64
03/29/2026,TIM HORTONS #4521 TORONTO ON,6.37,,22313.27
03/30/2026,METRO #742 TORONTO ON,43.13,,22270.14
04/04/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,22197.82
04/05/2026,PRESTO/METROLINX TORONTO ON,156.00,,22041.82
04/05/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,21541.82
04/07/2026,TIM HORTONS #4521 TORONTO ON,7.35,,21534.47
04/09/2026,TIM HORTONS #4521 TORONTO ON,7.03,,21527.44
04/10/2026,METRO #742 TORONTO ON,65.74,,21461.70
04/13/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,25611.70
04/16/2026,TIM HORTONS #4521 TORONTO ON,9.16,,25602.54
04/22/2026,TORONTO HYDRO PREAUTH,87.69,,25514.85
04/25/2026,METRO #742 TORONTO ON,32.85,,25482.00
04/25/2026,WISE PAYMENTS CANADA INR,761.20,,24720.80
04/26/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,28870.80
04/29/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,26720.80
05/03/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,26220.80
05/04/2026,TIM HORTONS #4521 TORONTO ON,5.59,,26215.21
05/08/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,24065.21
05/09/2026,WISE PAYMENTS CANADA INR,681.27,,23383.94
05/10/2026,METRO #742 TORONTO ON,61.91,,23322.03
05/13/2026,TIM HORTONS #4521 TORONTO ON,10.93,,23311.10
05/15/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,27461.10
05/21/2026,METRO #742 TORONTO ON,59.32,,27401.78
05/22/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,27329.46
05/23/2026,TIM HORTONS #4521 TORONTO ON,9.15,,27320.31
05/29/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,31470.31
05/29/2026,PRESTO/METROLINX TORONTO ON,156.00,,31314.31
05/31/2026,TORONTO HYDRO PREAUTH,66.18,,31248.13
06/01/2026,WISE PAYMENTS CANADA INR,606.21,,30641.92
06/03/2026,TIM HORTONS #4521 TORONTO ON,10.54,,30631.38
06/03/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,30131.38
06/04/2026,TIM HORTONS #4521 TORONTO ON,7.13,,30124.25
06/05/2026,METRO #742 TORONTO ON,82.41,,30041.84
06/06/2026,TIM HORTONS #4521 TORONTO ON,7.32,,30034.52
06/12/2026,METRO #742 TORONTO ON,57.27,,29977.25
06/12/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,29904.93
06/15/2026,TORONTO HYDRO PREAUTH,95.75,,29809.18
06/17/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,33959.18
06/20/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,38109.18
06/21/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,35959.18
06/25/2026,PRESTO/METROLINX TORONTO ON,156.00,,35803.18
07/02/2026,METRO #742 TORONTO ON,55.04,,35748.14
